                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0997,                 3.0239,                 1.4326,                0.01386,                      1,                0.52279,                0.33061,                0.84359,                 2.9594,                 1.3283,                0.00015,                0.00015,                0.00015
                      2,                0.70203,                 2.2887,                 1.2023,                0.01547,                      1,                0.75401,                0.50106,                0.83546,                  2.647,                 1.3421,             0.00030631,             0.00030631,             0.00030631
                      3,                0.67463,                 1.5922,                 1.1727,                0.89616,                0.36893,                 0.7821,                  0.511,                   1.08,                 2.2233,                 1.5696,             0.00045619,             0.00045619,             0.00045619
                      4,                0.69288,                 1.0988,                 1.1927,                0.78979,                0.62468,                0.73864,                0.54079,                 1.1477,                 1.4559,                 1.6849,             0.00059963,             0.00059963,             0.00059963
                      5,                0.67621,                0.97385,                 1.1721,                0.67202,                 0.7588,                0.80187,                0.54383,                 1.0586,                 1.7032,                 1.5908,             0.00073664,             0.00073664,             0.00073664
                      6,                0.67077,                0.88742,                 1.1629,                0.60717,                0.60909,                0.67609,                 0.4432,                 1.1899,                 1.7288,                 1.7012,             0.00086721,             0.00086721,             0.00086721
                      7,                0.64675,                0.84971,                 1.1619,                0.77357,                0.78669,                0.85919,                0.62294,                 1.0308,                 1.2282,                 1.5691,             0.00099135,             0.00099135,             0.00099135
                      8,                0.63489,                0.83082,                 1.1286,                0.83408,                0.72858,                0.80842,                0.61441,                0.87946,                 1.1855,                  1.342,              0.0010768,              0.0010768,              0.0010768
                      9,                 0.6033,                0.79051,                 1.1191,                0.92436,                0.69692,                0.87291,                0.65381,                    0.9,                 1.2104,                  1.431,               0.001052,               0.001052,               0.001052
                     10,                0.61397,                0.74231,                 1.1057,                0.87348,                0.85784,                0.92379,                0.65111,                0.99724,                0.97032,                 1.5489,              0.0010273,              0.0010273,              0.0010273
                     11,                0.60266,                0.75484,                 1.1156,                0.85068,                0.71738,                0.80563,                0.56066,                 1.1822,                 1.2228,                 1.7036,              0.0010025,              0.0010025,              0.0010025
                     12,                0.59241,                0.73948,                 1.1014,                0.84853,                0.66218,                0.73571,                0.54199,                 1.0032,                 1.2686,                 1.5609,             0.00097775,             0.00097775,             0.00097775
                     13,                0.57301,                0.70075,                 1.1004,                0.83001,                0.66009,                0.78128,                0.53562,                 1.1536,                  1.316,                 1.6553,               0.000953,               0.000953,               0.000953
                     14,                0.57831,                0.69812,                 1.0858,                0.83378,                0.72337,                0.80713,                0.57521,                 1.0822,                 1.2932,                 1.6212,             0.00092825,             0.00092825,             0.00092825
                     15,                0.55643,                0.68062,                 1.0759,                0.86839,                0.71355,                0.79812,                  0.578,                  1.126,                 1.2512,                 1.6383,              0.0009035,              0.0009035,              0.0009035
                     16,                0.56378,                0.65095,                 1.0839,                0.84534,                0.77597,                0.81998,                0.60224,                 1.0437,                 1.1522,                 1.5523,             0.00087875,             0.00087875,             0.00087875
                     17,                0.54268,                0.63058,                 1.0662,                0.89951,                0.87244,                0.92498,                0.62814,                 1.0809,                 0.9993,                 1.5765,               0.000854,               0.000854,               0.000854
                     18,                0.53336,                0.62571,                 1.0657,                0.96976,                0.89657,                0.96461,                 0.7401,                0.83573,                0.75234,                 1.2759,             0.00082925,             0.00082925,             0.00082925
                     19,                0.54295,                0.62705,                 1.0723,                0.90618,                0.90289,                0.94296,                0.71965,                0.81915,                0.80687,                 1.3013,              0.0008045,              0.0008045,              0.0008045
