                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82273,                 2.9897,                 1.3213,                0.01315,                0.98182,                0.46662,                0.31451,                 1.0543,                 2.9918,                  1.661,                0.00015,                0.00015,                0.00015
                      2,                0.31183,                 2.3009,                 1.0437,                0.01334,                0.97727,                0.51637,                0.31301,                 1.2427,                 2.8025,                 1.8327,             0.00030631,             0.00030631,             0.00030631
                      3,                0.28963,                 1.5325,                0.99118,                0.56067,                0.39908,                0.54034,                0.33577,                 1.5212,                 2.2444,                 2.1404,             0.00045619,             0.00045619,             0.00045619
                      4,                0.26594,                 1.0695,                0.97684,                0.73522,                0.53521,                0.49947,                0.32135,                 1.5868,                 2.1579,                 2.3125,             0.00059963,             0.00059963,             0.00059963
                      5,                0.26502,                0.86506,                0.95038,                0.75736,                0.45909,                0.50113,                0.31602,                 1.6653,                 2.0922,                 2.3476,             0.00073664,             0.00073664,             0.00073664
                      6,                 0.2496,                0.75679,                  0.934,                 0.6827,                0.56744,                0.54327,                0.36934,                 1.4004,                  2.257,                 2.1148,             0.00086721,             0.00086721,             0.00086721
                      7,                0.23577,                0.68387,                0.93221,                0.46804,                0.55811,                0.51591,                0.36662,                 1.4322,                 2.1441,                 2.0663,             0.00099135,             0.00099135,             0.00099135
                      8,                0.23045,                0.65511,                0.92116,                  0.647,                0.68419,                0.67799,                0.43449,                 1.4208,                 2.0356,                 2.1982,              0.0010768,              0.0010768,              0.0010768
                      9,                0.22101,                0.60139,                 0.9306,                0.79924,                0.76768,                0.78734,                0.42063,                 1.6363,                 1.5112,                 2.3028,               0.001052,               0.001052,               0.001052
                     10,                0.20993,                0.56388,                 0.9178,                0.75241,                0.75154,                0.74941,                0.41796,                 1.6108,                 1.4044,                 2.2606,              0.0010273,              0.0010273,              0.0010273
                     11,                0.21081,                 0.5486,                0.93255,                0.80679,                0.83632,                0.84728,                 0.4791,                  1.562,                 1.2922,                 2.2244,              0.0010025,              0.0010025,              0.0010025
                     12,                0.19797,                0.52409,                0.91658,                 0.8583,                 0.8244,                0.84955,                 0.4525,                 1.5989,                 1.2168,                 2.1399,             0.00097775,             0.00097775,             0.00097775
                     13,                0.19603,                0.51675,                0.91616,                0.85572,                0.78545,                0.80701,                0.48726,                 1.4236,                 1.2851,                 2.1131,               0.000953,               0.000953,               0.000953
                     14,                0.18042,                 0.4884,                0.90549,                0.88069,                0.84153,                0.85053,                0.50736,                 1.4663,                 1.1981,                 2.1924,             0.00092825,             0.00092825,             0.00092825
                     15,                0.17836,                 0.4811,                0.90307,                0.90894,                0.83561,                0.89233,                0.56993,                 1.3144,                 1.0529,                 2.0289,              0.0009035,              0.0009035,              0.0009035
                     16,                  0.168,                0.46103,                0.89178,                0.91892,                   0.85,                0.91051,                0.54608,                 1.3915,                0.99978,                 2.2635,             0.00087875,             0.00087875,             0.00087875
                     17,                0.16643,                0.43449,                0.89125,                0.95262,                 0.8986,                0.92366,                0.53463,                 1.5117,                 1.0548,                 2.3839,               0.000854,               0.000854,               0.000854
                     18,                 0.1544,                0.42736,                0.90132,                0.84522,                0.86273,                0.90041,                0.53435,                 1.4368,                  1.117,                 2.3067,             0.00082925,             0.00082925,             0.00082925
                     19,                0.15979,                0.42164,                0.90348,                0.82065,                0.82532,                0.85534,                0.51889,                 1.4493,                 1.1724,                 2.2782,              0.0008045,              0.0008045,              0.0008045
                     20,                0.14943,                0.39818,                0.88739,                0.71283,                0.75088,                0.72683,                0.45042,                  1.461,                 1.4202,                 2.1588,             0.00077975,             0.00077975,             0.00077975
                     21,                0.15532,                0.39886,                0.89125,                0.71706,                0.74276,                0.73449,                0.46099,                 1.4291,                 1.4156,                 2.0636,               0.000755,               0.000755,               0.000755
                     22,                0.14891,                0.37932,                0.89677,                0.82759,                0.78184,                0.84824,                0.51856,                 1.3788,                 1.1581,                  2.116,             0.00073025,             0.00073025,             0.00073025
                     23,                0.15396,                0.37527,                0.88285,                0.81719,                0.80406,                0.86216,                0.51805,                 1.3696,                 1.0944,                  2.139,              0.0007055,              0.0007055,              0.0007055
                     24,                0.13947,                0.36128,                 0.8834,                0.70976,                0.75195,                0.79748,                 0.5067,                 1.3279,                  1.312,                 2.0714,             0.00068075,             0.00068075,             0.00068075
                     25,                0.13707,                0.35772,                0.88822,                0.73706,                0.78636,                0.80267,                0.51593,                 1.2802,                 1.1779,                 1.9712,               0.000656,               0.000656,               0.000656
                     26,                0.14332,                0.35822,                 0.8828,                 0.7754,                0.80852,                 0.8196,                0.52029,                 1.2975,                 1.0667,                 1.9589,             0.00063125,             0.00063125,             0.00063125
                     27,                0.14276,                0.34553,                0.89765,                0.81139,                0.85002,                0.87044,                0.52478,                 1.3017,                  1.039,                  1.973,              0.0006065,              0.0006065,              0.0006065
                     28,                0.13065,                0.34194,                0.87622,                0.78613,                0.79705,                 0.8158,                0.51579,                 1.3441,                 1.1899,                 2.0647,             0.00058175,             0.00058175,             0.00058175
                     29,                0.12663,                0.33163,                0.87807,                0.78718,                0.80429,                0.82062,                0.53362,                 1.2393,                 1.0441,                  1.921,               0.000557,               0.000557,               0.000557
                     30,                0.12149,                0.32507,                0.88393,                0.84924,                0.81973,                0.85067,                0.54284,                 1.2853,                0.94335,                 2.0151,             0.00053225,             0.00053225,             0.00053225
                     31,                0.12109,                0.32584,                0.89322,                0.90138,                0.83574,                0.88477,                0.55191,                 1.2856,                0.93478,                 1.9906,              0.0005075,              0.0005075,              0.0005075
                     32,                0.11261,                0.31521,                0.88734,                0.84498,                0.82703,                0.84641,                  0.519,                 1.2764,                0.99158,                 2.0162,             0.00048275,             0.00048275,             0.00048275
                     33,                 0.1097,                0.30465,                0.87168,                0.86684,                0.81078,                0.87612,                0.52162,                 1.2986,                 1.0178,                 2.0837,               0.000458,               0.000458,               0.000458
