                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.47134,                 1.8538,                 1.1035,                 0.8314,                 0.7242,                0.86084,                0.59154,                 1.1004,                 1.3176,                 1.6271,             0.00041063,             0.00041063,             0.00041063
                      2,                0.31233,                0.70715,                0.98161,                0.75385,                0.86402,                 0.8811,                0.56767,                 1.1511,                 1.2518,                 1.6229,             0.00081091,             0.00081091,             0.00081091
                      3,                 0.2973,                0.57601,                0.96607,                0.87224,                0.78844,                0.89879,                0.61295,                 1.0839,                  1.017,                 1.7511,              0.0011947,              0.0011947,              0.0011947
                      4,                0.26853,                0.49499,                 0.9496,                0.91464,                0.94353,                0.96996,                0.73462,                0.82639,                0.71316,                  1.496,              0.0011757,              0.0011757,              0.0011757
                      5,                0.25362,                0.44646,                0.93312,                0.88056,                0.87745,                0.93336,                0.65504,                  1.061,                0.85519,                 1.6064,               0.001151,               0.001151,               0.001151
                      6,                0.23723,                0.41044,                0.93577,                0.75117,                0.84792,                 0.8741,                0.60914,                 1.0707,                 1.0942,                 1.7033,              0.0011263,              0.0011263,              0.0011263
                      7,                 0.2287,                 0.3801,                0.92667,                0.80066,                0.87681,                0.94762,                0.69868,                0.82466,                0.79814,                 1.4224,              0.0011015,              0.0011015,              0.0011015
                      8,                0.22091,                0.35327,                0.92476,                0.93287,                 0.8252,                 0.8858,                0.65067,                0.91134,                0.78802,                 1.4439,              0.0010768,              0.0010768,              0.0010768
                      9,                0.21367,                0.33961,                0.91571,                0.93437,                0.93144,                 0.9738,                0.72106,                0.86259,                0.61518,                 1.3799,               0.001052,               0.001052,               0.001052
                     10,                0.20635,                0.32641,                 0.9192,                0.92499,                0.87543,                 0.9332,                0.63797,                0.98554,                0.69959,                 1.4396,              0.0010273,              0.0010273,              0.0010273
                     11,                0.19874,                0.30976,                0.90692,                0.94901,                0.89091,                0.93974,                0.67799,                0.88756,                0.66647,                 1.4128,              0.0010025,              0.0010025,              0.0010025
                     12,                0.20255,                0.30697,                0.91312,                0.88068,                0.86023,                  0.919,                0.65079,                 0.9846,                0.72251,                 1.5438,             0.00097775,             0.00097775,             0.00097775
                     13,                 0.2004,                0.30036,                0.91121,                0.93041,                 0.9575,                0.97152,                0.69865,                0.94799,                0.54972,                 1.4184,               0.000953,               0.000953,               0.000953
                     14,                0.19623,                0.29264,                0.91152,                 0.9441,                0.83935,                0.92022,                0.66185,                0.92829,                0.69115,                 1.4787,             0.00092825,             0.00092825,             0.00092825
                     15,                0.18409,                0.27702,                0.90273,                0.84591,                 0.8733,                0.93245,                0.68822,                0.87607,                0.61127,                 1.3907,              0.0009035,              0.0009035,              0.0009035
                     16,                0.18786,                0.27506,                0.90234,                0.96386,                   0.95,                0.97951,                0.71445,                0.89146,                0.53507,                 1.4337,             0.00087875,             0.00087875,             0.00087875
                     17,                0.18461,                0.26508,                 0.9041,                 0.9012,                0.84035,                0.91612,                0.61316,                 1.0527,                0.77264,                 1.6569,               0.000854,               0.000854,               0.000854
                     18,                0.17321,                0.25257,                0.90218,                 0.9464,                0.95161,                0.98288,                0.68493,                0.94372,                0.52523,                  1.478,             0.00082925,             0.00082925,             0.00082925
                     19,                0.17519,                0.25238,                0.89957,                0.96051,                0.96034,                 0.9856,                0.77322,                0.76874,                0.42653,                 1.2869,              0.0008045,              0.0008045,              0.0008045
                     20,                0.17791,                0.24566,                0.90094,                0.95711,                0.95416,                0.97383,                 0.7363,                0.82962,                0.48353,                 1.3647,             0.00077975,             0.00077975,             0.00077975
                     21,                0.17416,                0.24484,                0.90448,                0.97082,                0.93645,                0.98151,                0.73245,                0.84818,                0.47199,                 1.3563,               0.000755,               0.000755,               0.000755
                     22,                0.16818,                0.23804,                0.89767,                0.91423,                0.88045,                0.93744,                0.67513,                0.90104,                0.60275,                 1.4641,             0.00073025,             0.00073025,             0.00073025
                     23,                0.16901,                0.22974,                0.89664,                0.95084,                 0.9446,                0.96138,                0.70703,                0.89553,                0.51702,                  1.424,              0.0007055,              0.0007055,              0.0007055
                     24,                0.16351,                0.22547,                0.89142,                0.95778,                0.96476,                0.96856,                0.72682,                0.87202,                0.48463,                 1.3304,             0.00068075,             0.00068075,             0.00068075
                     25,                0.16269,                0.22404,                0.88975,                0.94885,                0.99013,                0.98718,                0.72666,                 0.8751,                0.46152,                 1.3989,               0.000656,               0.000656,               0.000656
                     26,                0.15904,                0.22288,                0.89689,                0.92099,                0.94091,                 0.9585,                0.69368,                0.87641,                0.51565,                 1.4552,             0.00063125,             0.00063125,             0.00063125
                     27,                 0.1532,                0.21439,                 0.8862,                0.97088,                0.94259,                0.98062,                0.72981,                0.82245,                0.45201,                 1.3323,              0.0006065,              0.0006065,              0.0006065
